Date	Manual Bikes	e-Bikes	Gross Value Added
01.01.10	596461		112910065
01.04.10	1008193		136366634
01.07.10	1150913		69018068
01.10.10	1154239		116660659
01.01.11	536364		133175165
01.04.11	925835		133560025
01.07.11	941338		62064086
01.10.11	985975		107130798
01.01.12	600722	8647	108924691
01.04.12	862344	5014	114089756
01.07.12	1055922	6871	69511120
01.10.12	986445	18784	99784088
01.01.13	588324	3914	122183507
01.04.13	833512	6826	114144141
01.07.13	961435	7501	68076514
01.10.13	993234	14744	96447862
01.01.14	688177	7284	111250168
01.04.14	887023	10647	114929714
01.07.14	959767	21006	79630767
01.10.14	1095899	26705	102639760
01.01.15	616069	8421	111057159
01.04.15	978284	11049	126809350
01.07.15	1045568	38207	71286961
01.10.15	878595	117320	113199810
01.01.16	529218	42364	120985418
01.04.16	774019	21392	101664534
01.07.16	745763	39169	61237204
01.10.16	719043	30230	89563770
