	Year	Country Code	GDP
0	1960	ABW	
1	1961	ABW	
2	1962	ABW	
3	1963	ABW	
4	1964	ABW	
5	1965	ABW	
6	1966	ABW	
7	1967	ABW	
8	1968	ABW	
9	1969	ABW	
10	1970	ABW	
11	1971	ABW	
12	1972	ABW	
13	1973	ABW	
14	1974	ABW	
15	1975	ABW	
16	1976	ABW	
17	1977	ABW	
18	1978	ABW	
19	1979	ABW	
20	1980	ABW	
21	1981	ABW	
22	1982	ABW	
23	1983	ABW	
24	1984	ABW	
25	1985	ABW	
26	1986	ABW	6472.502029204069
27	1987	ABW	7885.79654466735
28	1988	ABW	9764.789978793286
29	1989	ABW	11392.455810576428
30	1990	ABW	12307.311737831438
31	1991	ABW	13496.003385141075
32	1992	ABW	14046.503996561916
33	1993	ABW	14936.827039275966
34	1994	ABW	16241.046324711673
35	1995	ABW	16439.356360928185
36	1996	ABW	16586.068435754187
37	1997	ABW	17927.749635208624
38	1998	ABW	19078.34319075149
39	1999	ABW	19356.20338949007
40	2000	ABW	20620.700625917478
41	2001	ABW	20669.031968864514
42	2002	ABW	20436.887128630886
43	2003	ABW	20833.761611669393
44	2004	ABW	22569.97498518014
45	2005	ABW	23300.039557569555
46	2006	ABW	24045.749420685817
47	2007	ABW	25835.643142488454
48	2008	ABW	27086.039847345855
49	2009	ABW	24630.939268077294
50	2010	ABW	23512.602595639666
51	2011	ABW	24984.279446866443
52	2012	ABW	24709.602264721914
53	2013	ABW	25018.308951806484
54	2014	ABW	25528.403780442808
55	2015	ABW	25796.38025063823
56	2016	ABW	25251.639677755393
57	2017	ABW	25655.102021753657
58	2018	ABW	
59	1960	AFG	59.777326508393365
60	1961	AFG	59.87815280894715
61	1962	AFG	58.49287383234792
62	1963	AFG	78.78275803628915
63	1964	AFG	82.20844385944005
64	1965	AFG	101.29047127416686
65	1966	AFG	137.8993618969542
66	1967	AFG	161.3220000884807
67	1968	AFG	129.5066538442509
68	1969	AFG	129.79854140837475
69	1970	AFG	157.18742238923258
70	1971	AFG	160.37283555415425
71	1972	AFG	136.1170143811993
72	1973	AFG	144.11031892926619
73	1974	AFG	174.94203831953956
74	1975	AFG	187.9756040137258
75	1976	AFG	199.02617272905144
76	1977	AFG	226.00534375930474
77	1978	AFG	249.2873862617944
78	1979	AFG	277.90074166507793
79	1980	AFG	274.88085870152054
