,,,"Prevalence of insufficient physical activity among adults aged 18+ years (age-standardized estimate) (%)","Prevalence of insufficient physical activity among adults aged 18+ years (age-standardized estimate) (%)","Prevalence of insufficient physical activity among adults aged 18+ years (age-standardized estimate) (%)","Prevalence of insufficient physical activity among adults aged 18+ years (crude estimate) (%)","Prevalence of insufficient physical activity among adults aged 18+ years (crude estimate) (%)","Prevalence of insufficient physical activity among adults aged 18+ years (crude estimate) (%)"
"Country","Year","Age Group","Both sexes","Male","Female","Both sexes","Male","Female"
"Afghanistan","2016","18+  years","No data","No data","No data","No data","No data","No data"
"Albania","2016","18+  years","No data","No data","No data","No data","No data","No data"
"Algeria","2016","18+  years","33.6 [25.5-42.7]","26.9 [20.0-35.1]","40.2 [31.0-50.3]","31.9 [24.1-40.9]","25.0 [18.5-33.0]","38.8 [29.7-48.8]"
"Andorra","2016","18+  years","38.4 [30.8-46.6]","36.8 [29.7-44.6]","40.0 [32.0-48.5]","42.9 [35.0-51.1]","41.5 [34.0-49.4]","44.3 [36.0-52.8]"
"Angola","2016","18+  years","No data","No data","No data","No data","No data","No data"
"Antigua and Barbuda","2016","18+  years","No data","No data","No data","No data","No data","No data"
"Argentina","2016","18+  years","41.6 [33.6-50.0]","37.6 [30.4-45.5]","45.3 [36.6-54.2]","42.3 [34.3-50.7]","37.8 [30.5-45.7]","46.4 [37.7-55.4]"
"Armenia","2016","18+  years","22.6 [16.4-30.5]","23.3 [17.3-30.7]","22.1 [15.6-30.3]","23.3 [16.9-31.2]","23.7 [17.6-31.2]","23.0 [16.3-31.3]"
"Australia","2016","18+  years","30.4 [23.7-37.9]","27.0 [21.1-34.0]","33.6 [26.3-41.9]","31.7 [24.9-39.4]","28.0 [21.9-35.0]","35.4 [27.9-43.8]"
"Austria","2016","18+  years","30.1 [24.1-36.8]","26.4 [21.2-32.3]","33.6 [26.8-41.1]","32.5 [26.3-39.5]","28.6 [23.1-34.7]","36.3 [29.3-44.0]"
"Azerbaijan","2016","18+  years","No data","No data","No data","No data","No data","No data"
"Bahamas","2016","18+  years","43.3 [34.9-51.9]","30.0 [23.0-38.1]","55.6 [46.0-64.7]","43.0 [34.7-51.6]","29.2 [22.3-37.2]","55.8 [46.3-64.9]"
"Bahrain","2016","18+  years","No data","No data","No data","No data","No data","No data"
"Bangladesh","2016","18+  years","27.8 [16.4-39.1]","16.1 [9.7-22.5]","39.5 [23.1-55.8]","26.1 [15.0-37.2]","14.8 [8.8-20.8]","37.5 [21.2-53.7]"
"Barbados","2016","18+  years","42.9 [34.1-51.7]","29.3 [21.3-37.3]","54.9 [45.4-64.5]","44.4 [35.6-53.2]","30.4 [22.2-38.5]","56.8 [47.5-66.1]"
"Belarus","2016","18+  years","14.1 [10.0-19.5]","13.7 [9.8-18.7]","14.4 [10.1-20.1]","15.2 [10.8-20.9]","14.2 [10.2-19.4]","16.0 [11.3-22.1]"
"Belgium","2016","18+  years","35.7 [29.3-42.8]","30.6 [25.0-36.8]","40.6 [33.3-48.4]","38.6 [31.9-45.7]","33.1 [27.2-39.5]","43.9 [36.4-51.7]"
"Belize","2016","18+  years","No data","No data","No data","No data","No data","No data"
"Benin","2016","18+  years","15.9 [12.1-20.6]","13.6 [10.5-17.5]","18.1 [13.7-23.6]","14.6 [11.1-19.0]","12.2 [9.3-15.7]","17.0 [12.8-22.2]"
"Bhutan","2016","18+  years","23.0 [18.4-27.5]","17.7 [14.8-20.6]","29.5 [22.8-36.1]","21.9 [17.5-26.2]","16.4 [13.7-19.1]","28.5 [22.2-34.9]"
"Bolivia (Plurinational State of)","2016","18+  years","No data","No data","No data","No data","No data","No data"
"Bosnia and Herzegovina","2016","18+  years","25.5 [18.5-33.9]","22.8 [16.7-30.3]","28.0 [20.3-37.3]","26.0 [19.0-34.5]","22.9 [16.7-30.4]","29.1 [21.2-38.5]"
"Botswana","2016","18+  years","21.7 [16.9-27.5]","17.1 [13.3-21.7]","26.3 [20.5-33.1]","20.4 [15.8-25.9]","15.6 [12.0-19.9]","25.2 [19.6-31.9]"
"Brazil","2016","18+  years","47.0 [38.9-55.3]","40.4 [32.8-48.5]","53.3 [44.6-61.8]","46.9 [38.8-55.2]","40.0 [32.4-48.1]","53.4 [44.8-61.9]"
"Brunei Darussalam","2016","18+  years","27.3 [18.5-38.3]","21.2 [14.0-30.6]","33.9 [23.3-46.4]","26.5 [17.8-37.3]","20.4 [13.4-29.7]","33.0 [22.5-45.4]"
"Bulgaria","2016","18+  years","38.6 [30.6-47.3]","35.6 [28.3-43.6]","41.4 [32.8-50.7]","41.2 [33.0-49.9]","37.7 [30.2-45.8]","44.4 [35.6-53.6]"
"Burkina Faso","2016","18+  years","20.3 [15.1-25.5]","17.7 [13.1-22.4]","22.7 [17.0-28.4]","17.8 [13.0-22.6]","15.0 [10.9-19.1]","20.5 [15.0-25.9]"
"Burundi","2016","18+  years","No data","No data","No data","No data","No data","No data"
"Cabo Verde","2016","18+  years","19.7 [15.0-25.3]","14.1 [10.6-18.4]","25.0 [19.2-31.8]","18.6 [14.2-24.0]","12.4 [9.3-16.4]","24.5 [18.8-31.2]"
"Cambodia","2016","18+  years","10.5 [6.9-15.7]","9.8 [6.6-14.4]","11.1 [7.2-16.8]","9.8 [6.4-14.7]","8.9 [5.9-13.2]","10.6 [6.9-16.1]"
"Cameroon","2016","18+  years","28.5 [22.7-35.1]","21.8 [17.0-27.4]","35.2 [28.2-42.8]","26.9 [21.3-33.4]","20.2 [15.7-25.6]","33.6 [26.8-41.1]"
"Canada","2016","18+  years","28.6 [21.9-36.3]","25.7 [19.7-32.8]","31.4 [24.1-39.7]","29.8 [23.0-37.7]","26.6 [20.4-33.9]","33.0 [25.5-41.4]"
"Central African Republic","2016","18+  years","14.3 [10.9-18.5]","12.6 [9.7-16.3]","15.9 [12.1-20.7]","13.5 [10.2-17.5]","11.6 [8.8-15.0]","15.3 [11.5-19.9]"
"Chad","2016","18+  years","23.3 [16.6-30.0]","19.6 [13.6-25.6]","26.9 [19.5-34.4]","21.3 [14.9-27.7]","17.4 [11.8-23.1]","25.1 [17.9-32.3]"
"Chile","2016","18+  years","26.6 [19.6-33.6]","24.4 [18.2-30.6]","28.6 [20.9-36.4]","26.9 [19.8-33.9]","24.3 [18.2-30.5]","29.3 [21.4-37.1]"
"China","2016","18+  years","14.1 [10.1-19.4]","16.0 [11.7-21.4]","12.2 [8.5-17.3]","14.4 [10.3-19.7]","16.2 [11.9-21.7]","12.5 [8.7-17.6]"
"Colombia","2016","18+  years","44.0 [35.4-52.7]","38.8 [30.5-47.0]","48.9 [39.9-58.0]","43.0 [34.4-51.6]","37.5 [29.3-45.6]","48.2 [39.2-57.3]"
"Comoros","2016","18+  years","14.3 [10.7-17.9]","9.6 [7.4-11.9]","19.0 [14.1-23.9]","12.5 [9.2-15.8]","7.8 [5.8-9.8]","17.2 [12.5-21.8]"
"Congo","2016","18+  years","28.0 [21.6-35.5]","24.8 [18.9-31.7]","31.3 [24.3-39.2]","26.3 [20.1-33.4]","22.7 [17.2-29.3]","29.7 [23.0-37.5]"
"Cook Islands","2016","18+  years","18.5 [13.3-24.9]","9.8 [6.9-13.6]","27.2 [19.7-36.2]","20.9 [15.3-27.8]","11.5 [8.1-15.9]","30.4 [22.4-39.8]"
"Costa Rica","2016","18+  years","46.1 [37.9-54.4]","37.7 [30.3-45.7]","54.3 [45.5-62.9]","46.2 [38.1-54.6]","37.8 [30.3-45.8]","54.6 [45.8-63.2]"
"Côte d'Ivoire","2016","18+  years","33.1 [26.7-39.4]","29.1 [23.6-34.5]","37.3 [30.0-44.6]","31.0 [24.9-37.2]","27.2 [22.0-32.4]","35.0 [27.9-42.2]"
