Entity,Code,Year, (% of GDP)
Afghanistan,AFG,2002,7.76307316
Afghanistan,AFG,2003,8.81605343
Afghanistan,AFG,2004,8.78670722
Afghanistan,AFG,2005,8.06810435
Afghanistan,AFG,2006,7.43397155
Afghanistan,AFG,2007,6.72831635
Afghanistan,AFG,2008,8.32809334
Afghanistan,AFG,2009,9.41897064
Afghanistan,AFG,2010,9.19772273
Afghanistan,AFG,2011,7.87199189
Afghanistan,AFG,2012,8.51891268
Afghanistan,AFG,2013,8.13486556
Afghanistan,AFG,2014,8.18227382
Albania,ALB,1995,6.59707903
Albania,ALB,1996,7.43197435
Albania,ALB,1997,7.56809993
Albania,ALB,1998,6.94329921
Albania,ALB,1999,6.86818989
Albania,ALB,2000,6.2559844
Albania,ALB,2001,6.00014389
Albania,ALB,2002,6.30011348
Albania,ALB,2003,6.26700723
Albania,ALB,2004,6.37953469
Albania,ALB,2005,6.11631076
Albania,ALB,2006,5.86129625
Albania,ALB,2007,6.10393525
Albania,ALB,2008,5.86941616
Albania,ALB,2009,5.79133946
Albania,ALB,2010,5.33503501
Albania,ALB,2011,5.71466526
Albania,ALB,2012,5.58917285
Albania,ALB,2013,5.65513948
Albania,ALB,2014,5.88310543
Algeria,DZA,1995,3.70152453
Algeria,DZA,1996,3.34906968
Algeria,DZA,1997,3.59465773
Algeria,DZA,1998,3.59408178
Algeria,DZA,1999,3.43391495
Algeria,DZA,2000,3.48902094
Algeria,DZA,2001,3.83786516
Algeria,DZA,2002,3.73006375
Algeria,DZA,2003,3.60102674
Algeria,DZA,2004,3.54406326
Algeria,DZA,2005,3.23516801
Algeria,DZA,2006,3.35511843
Algeria,DZA,2007,3.82141191
Algeria,DZA,2008,4.20191141
Algeria,DZA,2009,5.35942501
Algeria,DZA,2010,5.11715468
Algeria,DZA,2011,5.29292834
Algeria,DZA,2012,6.14311272
Algeria,DZA,2013,7.12438268
Algeria,DZA,2014,7.20717804
Andorra,AND,1995,5.80799984
Andorra,AND,1996,6.09433321
Andorra,AND,1997,6.14492202
Andorra,AND,1998,7.75592576
Andorra,AND,1999,5.72830824
Andorra,AND,2000,5.78129974
Andorra,AND,2001,5.78874692
Andorra,AND,2002,5.97260274
Andorra,AND,2003,5.74503291
Andorra,AND,2004,5.70388241
Andorra,AND,2005,5.22335314
Andorra,AND,2006,5.31389324
Andorra,AND,2007,6.33545578
Andorra,AND,2008,6.5674086
Andorra,AND,2009,6.75968963
Andorra,AND,2010,7.99926652
Andorra,AND,2011,6.70379149
Andorra,AND,2012,7.54733741
Andorra,AND,2013,11.4780464
Andorra,AND,2014,8.12713561
Angola,AGO,1995,6.45887795
Angola,AGO,1996,2.81473208
Angola,AGO,1997,3.4825593
Angola,AGO,1998,3.33560211
Angola,AGO,1999,3.37784418
Angola,AGO,2000,2.78728366
Angola,AGO,2001,5.38455772
Angola,AGO,2002,3.63392075
Angola,AGO,2003,4.40528442
Angola,AGO,2004,4.70732007
Angola,AGO,2005,4.10396002
Angola,AGO,2006,4.54243749
Angola,AGO,2007,3.38311163
Angola,AGO,2008,3.84493395
Angola,AGO,2009,4.37177378
Angola,AGO,2010,3.39114609
Angola,AGO,2011,3.3795827
Angola,AGO,2012,3.30479422
Angola,AGO,2013,4.26303169
Angola,AGO,2014,3.30698293
Antigua and Barbuda,ATG,1995,4.1436129
Antigua and Barbuda,ATG,1996,3.92096985
Antigua and Barbuda,ATG,1997,3.93930715
Antigua and Barbuda,ATG,1998,3.92020732
Antigua and Barbuda,ATG,1999,3.96104693
Antigua and Barbuda,ATG,2000,4.12504853
Antigua and Barbuda,ATG,2001,4.48439049
Antigua and Barbuda,ATG,2002,4.41378705
Antigua and Barbuda,ATG,2003,4.53434099
Antigua and Barbuda,ATG,2004,4.20698542
Antigua and Barbuda,ATG,2005,4.41010035
Antigua and Barbuda,ATG,2006,4.34002161
Antigua and Barbuda,ATG,2007,4.26972324
Antigua and Barbuda,ATG,2008,4.69201433
Antigua and Barbuda,ATG,2009,4.86206202
Antigua and Barbuda,ATG,2010,5.6285144
Antigua and Barbuda,ATG,2011,5.64852918
Antigua and Barbuda,ATG,2012,5.38593825
Antigua and Barbuda,ATG,2013,5.33222783
Antigua and Barbuda,ATG,2014,5.54168311
Arab World,,1995,3.69906509326942
Arab World,,1996,3.69065163249391
Arab World,,1997,3.86109386563603
Arab World,,1998,4.17379515491562
Arab World,,1999,4.27746525457495
Arab World,,2000,4.11998198383798
Arab World,,2001,4.39089148325254
Arab World,,2002,4.41499815211719
Arab World,,2003,4.20171645863214
Arab World,,2004,3.93821726722257
Arab World,,2005,3.57556926960297
Arab World,,2006,3.52585612501846
Arab World,,2007,3.61937095664621
Arab World,,2008,3.53052216048739
Arab World,,2009,4.57058219514183
Arab World,,2010,4.16120953446445
Arab World,,2011,4.09595252628126
Arab World,,2012,4.3985452645395
Arab World,,2013,4.66384064476461
Arab World,,2014,4.87442676687995
Argentina,ARG,1995,8.31099274
Argentina,ARG,1996,8.02499359
Argentina,ARG,1997,8.36136161
Argentina,ARG,1998,8.53592553
Argentina,ARG,1999,9.35514932
Argentina,ARG,2000,9.21275669
Argentina,ARG,2001,9.37589012
Argentina,ARG,2002,8.31392968
Argentina,ARG,2003,8.21606274
Argentina,ARG,2004,6.84056093
Argentina,ARG,2005,6.84561938
Argentina,ARG,2006,6.68187054
Argentina,ARG,2007,6.49458405
Argentina,ARG,2008,6.66371839
Argentina,ARG,2009,7.63475841
Argentina,ARG,2010,6.55015616
Argentina,ARG,2011,5.89274265
Argentina,ARG,2012,5.01904817
Argentina,ARG,2013,4.98687258
Argentina,ARG,2014,4.78591616
Armenia,ARM,1995,6.41873606
Armenia,ARM,1996,5.7907572
Armenia,ARM,1997,5.76758904
Armenia,ARM,1998,5.75617179
Armenia,ARM,1999,5.68179057
Armenia,ARM,2000,6.25348348
Armenia,ARM,2001,5.94041648
Armenia,ARM,2002,5.40041921
Armenia,ARM,2003,5.56388068
Armenia,ARM,2004,5.50118169
Armenia,ARM,2005,5.25211644
Armenia,ARM,2006,4.57775072
Armenia,ARM,2007,4.30883082
Armenia,ARM,2008,3.79932298
Armenia,ARM,2009,4.54532341
Armenia,ARM,2010,4.56226302
Armenia,ARM,2011,3.71354097
Armenia,ARM,2012,4.48215825
Armenia,ARM,2013,4.55022679
Armenia,ARM,2014,4.48014942
Australia,AUS,1995,7.25973523
Australia,AUS,1996,7.44304741
Australia,AUS,1997,7.49922799
Australia,AUS,1998,7.66270214
Australia,AUS,1999,7.78975897
Australia,AUS,2000,8.07814515
Australia,AUS,2001,8.17867869
Australia,AUS,2002,8.39043833
Australia,AUS,2003,8.31845119
Australia,AUS,2004,8.57432053
Australia,AUS,2005,8.45389263
Australia,AUS,2006,8.49118995
Australia,AUS,2007,8.5306305
Australia,AUS,2008,8.78349607
Australia,AUS,2009,9.04605596
Australia,AUS,2010,9.01527191
Australia,AUS,2011,9.19934655
Australia,AUS,2012,9.35738514
Australia,AUS,2013,9.36373848
Australia,AUS,2014,9.42230024
Austria,AUT,1995,9.54702427
Austria,AUT,1996,9.52730055
Austria,AUT,1997,9.8252159
Austria,AUT,1998,9.99743397
Austria,AUT,1999,10.18758732
Austria,AUT,2000,10.06456722
Austria,AUT,2001,10.11903601
Austria,AUT,2002,10.27003327
Austria,AUT,2003,10.48033992
Austria,AUT,2004,10.55988254
Austria,AUT,2005,10.53141508
Austria,AUT,2006,10.35154773
Austria,AUT,2007,10.40127692
Austria,AUT,2008,10.60392998
Austria,AUT,2009,11.19443731
Austria,AUT,2010,11.16524816
Austria,AUT,2011,10.93557307
Austria,AUT,2012,11.16821981
Austria,AUT,2013,11.1377909
Austria,AUT,2014,11.20547328
Azerbaijan,AZE,1995,5.79187601
Azerbaijan,AZE,1996,6.12391391
Azerbaijan,AZE,1997,5.45197597
